claim_id,student_person_id,student_name,promoter_person_id,teacher_name,claim_type,relationship_label,status,evidence_level,notes
bjj-hist_carlos_sr-hist_maeda,hist_carlos_sr,Carlos Gracie Senior,hist_maeda,Mitsuyo Maeda,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: M. Maeda > C. Gracie > H. Gracie > R. Gracie > J. Pereira > Leo Dalla > Lloyd Irvin > Aarae Alexander
bjj-hist_helio-hist_carlos_sr,hist_helio,Helio Gracie,hist_carlos_sr,Carlos Gracie Senior,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: M. Maeda > C. Gracie > H. Gracie > R. Gracie > J. Pereira > Leo Dalla > Lloyd Irvin > Aarae Alexander
bjj-67-hist_helio,67,Rickson Gracie,hist_helio,Helio Gracie,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: M. Maeda > C. Gracie > H. Gracie > R. Gracie > J. Pereira > Leo Dalla > Lloyd Irvin > Aarae Alexander
bjj-5869-67,5869,Jorge Pereira,67,Rickson Gracie,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: M. Maeda > C. Gracie > H. Gracie > R. Gracie > J. Pereira > Leo Dalla > Lloyd Irvin > Aarae Alexander
bjj-6403-5869,6403,Leonardo Dalla,5869,Jorge Pereira,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: M. Maeda > C. Gracie > H. Gracie > R. Gracie > J. Pereira > Leo Dalla > Lloyd Irvin > Aarae Alexander
bjj-1307-6403,1307,Lloyd Irvin,6403,Leonardo Dalla,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: M. Maeda > C. Gracie > H. Gracie > R. Gracie > J. Pereira > Leo Dalla > Lloyd Irvin > Aarae Alexander
bjj-8141-1307,8141,Aarae Alexander,1307,Lloyd Irvin,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: M. Maeda > C. Gracie > H. Gracie > R. Gracie > J. Pereira > Leo Dalla > Lloyd Irvin > Aarae Alexander
bjj-hist_rolls-hist_helio,hist_rolls,Rolls Gracie,hist_helio,Helio Gracie,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti (Jacaré) > Roberto Traven > Philip Smith > Aaron Johnson
bjj-355-hist_rolls,355,Romero Cavalcanti,hist_rolls,Rolls Gracie,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti (Jacaré) > Roberto Traven > Philip Smith > Aaron Johnson
bjj-1204-355,1204,Roberto Traven,355,Romero Cavalcanti,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti (Jacaré) > Roberto Traven > Philip Smith > Aaron Johnson
bjj-v_philip_smith-1204,v_philip_smith,Philip Smith,1204,Roberto Traven,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti (Jacaré) > Roberto Traven > Philip Smith > Aaron Johnson
bjj-9246-v_philip_smith,9246,Aaron Johnson,v_philip_smith,Philip Smith,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti (Jacaré) > Roberto Traven > Philip Smith > Aaron Johnson
bjj-22-hist_carlos_sr,22,Carlson Gracie,hist_carlos_sr,Carlos Gracie Senior,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: M. Maeda > Carlos Gracie > Carlson Gracie > Zé Mario Sperry > Rafael Haubert > Abdurakhman Bilarov
bjj-232-22,232,Jose Mario Sperry,22,Carlson Gracie,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: M. Maeda > Carlos Gracie > Carlson Gracie > Zé Mario Sperry > Rafael Haubert > Abdurakhman Bilarov
bjj-v_rafael_haubert-232,v_rafael_haubert,Rafael Haubert,232,Jose Mario Sperry,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: M. Maeda > Carlos Gracie > Carlson Gracie > Zé Mario Sperry > Rafael Haubert > Abdurakhman Bilarov
bjj-8494-v_rafael_haubert,8494,Abdurakhman Bilarov,v_rafael_haubert,Rafael Haubert,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: M. Maeda > Carlos Gracie > Carlson Gracie > Zé Mario Sperry > Rafael Haubert > Abdurakhman Bilarov
bjj-419-355,419,Leonardo Vieira,355,Romero Cavalcanti,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Leonardo Vieira > Robert Drysdale > Abmar Barbosa
bjj-378-419,378,Robert Drysdale,419,Leonardo Vieira,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Leonardo Vieira > Robert Drysdale > Abmar Barbosa
bjj-390-378,390,Abmar Barbosa,378,Robert Drysdale,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Leonardo Vieira > Robert Drysdale > Abmar Barbosa
bjj-739-67,739,Marcelo Behring,67,Rickson Gracie,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Rickson Gracie > Marcelo Behring > Fernando Yamasaki > Abraham Tabar > Abraham Marte Messina
bjj-7856-739,7856,Fernando Yamasaki,739,Marcelo Behring,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Rickson Gracie > Marcelo Behring > Fernando Yamasaki > Abraham Tabar > Abraham Marte Messina
bjj-v_abraham_tabar-7856,v_abraham_tabar,Abraham Tabar,7856,Fernando Yamasaki,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Rickson Gracie > Marcelo Behring > Fernando Yamasaki > Abraham Tabar > Abraham Marte Messina
bjj-3083-v_abraham_tabar,3083,Abraham Marte Messina,v_abraham_tabar,Abraham Tabar,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Rickson Gracie > Marcelo Behring > Fernando Yamasaki > Abraham Tabar > Abraham Marte Messina
bjj-3384-2160,3384,Crolin Gracie,2160,Carley Gracie,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Crolin Gracie > Jorge Popovitch > Pablo Popovitch > Vagner Rocha > Achilles Rocha
bjj-v_jorge_popovitch-3384,v_jorge_popovitch,Jorge Popovitch,3384,Crolin Gracie,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Crolin Gracie > Jorge Popovitch > Pablo Popovitch > Vagner Rocha > Achilles Rocha
bjj-919-v_jorge_popovitch,919,Pablo Popovitch,v_jorge_popovitch,Jorge Popovitch,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Crolin Gracie > Jorge Popovitch > Pablo Popovitch > Vagner Rocha > Achilles Rocha
bjj-8394-919,8394,Vagner Rocha,919,Pablo Popovitch,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Crolin Gracie > Jorge Popovitch > Pablo Popovitch > Vagner Rocha > Achilles Rocha
